epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.1902,1.21501,2.73028,1.80443,1.38736,0.42003,0.25712,0.21807,0.08948,0.3833,0.22773,0.17472,0.06871,2.07513,4.54011,3.60824,2.11152,0.000660317,0.000660317,0.000660317
2,133.476,1.29941,2.41959,1.48959,1.43737,0.57985,0.36639,0.36243,0.20881,0.58906,0.34527,0.34453,0.19818,1.6468,3.20748,3.59432,1.8583,0.00131385,0.00131385,0.00131385
3,198.632,1.31063,2.47787,1.4837,1.43766,0.24518,0.30946,0.14706,0.05591,0.26301,0.29293,0.14811,0.05477,2.03918,3.12489,3.52566,1.96736,0.00195418,0.00195418,0.00195418
4,262.449,1.23503,2.40401,1.43219,1.3947,0.65557,0.39118,0.41996,0.24935,0.65022,0.37833,0.40454,0.23021,1.59796,3.08256,1.97403,1.64911,0.0019406,0.0019406,0.0019406
5,324.705,1.23084,2.31894,1.38517,1.39249,0.52386,0.37741,0.35929,0.22018,0.52616,0.35078,0.33638,0.19362,1.53494,2.97423,2.23311,1.63376,0.0019208,0.0019208,0.0019208
6,388.799,1.19436,2.30293,1.33299,1.37607,0.71167,0.37851,0.42271,0.25834,0.69823,0.35813,0.38602,0.23147,1.50498,2.98376,1.86204,1.5469,0.001901,0.001901,0.001901
7,454.282,1.14823,2.26618,1.29677,1.34493,0.71684,0.41611,0.46694,0.2877,0.68225,0.40496,0.44125,0.27903,1.44023,2.68542,1.77282,1.5311,0.0018812,0.0018812,0.0018812
8,518.104,1.13298,2.20013,1.24605,1.33137,0.62278,0.41781,0.43533,0.23733,0.60119,0.41113,0.42209,0.23216,1.53534,2.58187,1.81796,1.54455,0.0018614,0.0018614,0.0018614
9,583.862,1.11328,2.14472,1.25443,1.31989,0.73787,0.41506,0.46978,0.31148,0.73038,0.40588,0.45718,0.29426,1.435,2.58832,1.64782,1.50491,0.0018416,0.0018416,0.0018416
10,648.931,1.08149,2.14295,1.22004,1.31107,0.68422,0.37803,0.41336,0.26774,0.66989,0.37098,0.398,0.24715,1.47416,2.63838,1.94579,1.53952,0.0018218,0.0018218,0.0018218
11,716.522,1.08176,2.06586,1.19129,1.30545,0.56956,0.39761,0.40118,0.26228,0.60718,0.37374,0.39085,0.25312,1.40992,2.52292,2.20628,1.4803,0.001802,0.001802,0.001802
12,779.178,1.04531,2.06785,1.14621,1.28511,0.72253,0.4041,0.44834,0.29548,0.7142,0.39945,0.43967,0.27868,1.38767,2.58666,1.67263,1.46068,0.0017822,0.0017822,0.0017822
13,842.542,1.05039,2.04807,1.15539,1.28598,0.77084,0.417,0.49258,0.33887,0.75276,0.41414,0.48515,0.32118,1.33091,2.50421,1.57412,1.39983,0.0017624,0.0017624,0.0017624
14,906.353,1.04307,2.00476,1.14802,1.28069,0.69519,0.38476,0.42944,0.29701,0.69021,0.382,0.42243,0.27545,1.34859,2.42611,2.19426,1.41974,0.0017426,0.0017426,0.0017426
15,970.069,1.01215,1.99585,1.10295,1.25388,0.55472,0.4371,0.43583,0.29256,0.53445,0.42272,0.41649,0.26363,1.32162,2.61697,1.77671,1.37447,0.0017228,0.0017228,0.0017228
16,1033.57,1.02718,1.98556,1.10813,1.26053,0.73121,0.45465,0.50325,0.33671,0.72711,0.45265,0.49122,0.32437,1.36119,2.4066,1.53743,1.43354,0.001703,0.001703,0.001703
